,model,cross_k,threshold,precision,recall,AUC ROC
0,KNN,1,0.5,0.6708370205364499,0.6708370205364499,0.6011704153471349
1,KNN,1,0.3,0.49937444691953253,0.49937444691953253,0.6011704153471349
2,KNN,1,0.2,0.3871410698483415,0.3871410698483415,0.6011704153471349
3,KNN,1,0.1,0.2982820176375454,0.2982820176375454,0.6011704153471349
4,KNN,1,0.05,0.2982820176375454,0.2982820176375454,0.6011704153471349
5,KNN,1,0.02,0.2982820176375454,0.2982820176375454,0.6011704153471349
6,KNN,1,0.01,0.2982820176375454,0.2982820176375454,0.6011704153471349
7,DT,1,0.5,0.6374233316041622,0.6374233316041622,0.5805110808478517
8,DT,1,0.3,0.5959842543712429,0.5959842543712429,0.5805110808478517
9,DT,1,0.2,0.5682768301241952,0.5682768301241952,0.5805110808478517
10,DT,1,0.1,0.5443837539287785,0.5443837539287785,0.5805110808478517
11,DT,1,0.05,0.530133349607885,0.530133349607885,0.5805110808478517
12,DT,1,0.02,0.5257392206524061,0.5257392206524061,0.5805110808478517
13,DT,1,0.01,0.5113667571938604,0.5113667571938604,0.5805110808478517
14,LR,1,0.5,0.7173110371975222,0.7173110371975222,0.6621968312890835
15,LR,1,0.3,0.5918647584754814,0.5918647584754814,0.6621968312890835
16,LR,1,0.2,0.4683409111714626,0.4683409111714626,0.6621968312890835
17,LR,1,0.1,0.3150651490647219,0.3150651490647219,0.6621968312890835
18,LR,1,0.05,0.26517347654938817,0.26517347654938817,0.6621968312890835
19,LR,1,0.02,0.2571786030331696,0.2571786030331696,0.6621968312890835
20,LR,1,0.01,0.2568734551890391,0.2568734551890391,0.6621968312890835
21,SVM,1,-1.0,0.28149888621036895,0.28149888621036895,0.0
22,SVM,1,-0.8,0.3440541942571176,0.3440541942571176,0.0
23,SVM,1,-0.6,0.4500930700924598,0.4500930700924598,0.0
24,SVM,1,-0.4,0.5731286808458699,0.5731286808458699,0.0
25,SVM,1,-0.3,0.6259192578804431,0.6259192578804431,0.0
26,SVM,1,-0.1,0.7002532727106283,0.7002532727106283,0.0
27,SVM,1,0.0,0.7232614201580666,0.7232614201580666,0.0
28,RF,1,0.5,0.7364132922400903,0.7364132922400903,0.6667299892355861
29,RF,1,0.3,0.5752342009703701,0.5752342009703701,0.6667299892355861
30,RF,1,0.2,0.40172713679777855,0.40172713679777855,0.6667299892355861
