,model,cross_k,threshold,precision,recall,AUC ROC
0,KNN,1,0.5,0.75,0.0037174721189591076,0.6328762264444988
1,KNN,1,0.7,0.0,0.0,0.6328762264444988
2,KNN,1,0.8,0.0,0.0,0.6328762264444988
3,KNN,1,0.9,0.0,0.0,0.6328762264444988
4,KNN,1,0.95,0.0,0.0,0.6328762264444988
5,KNN,1,0.98,0.0,0.0,0.6328762264444988
6,KNN,1,0.99,0.0,0.0,0.6328762264444988
7,decision_tree,1,0.5,0.29703915950334286,0.3853779429987608,0.5521225313622179
8,decision_tree,1,0.7,0.29283489096573206,0.34944237918215615,0.5521225313622179
9,decision_tree,1,0.8,0.29283489096573206,0.34944237918215615,0.5521225313622179
10,decision_tree,1,0.9,0.29227557411273486,0.3469640644361834,0.5521225313622179
11,decision_tree,1,0.95,0.29227557411273486,0.3469640644361834,0.5521225313622179
12,decision_tree,1,0.98,0.29227557411273486,0.3469640644361834,0.5521225313622179
13,decision_tree,1,0.99,0.29227557411273486,0.3469640644361834,0.5521225313622179
14,logistic_reg,1,0.5,0.42171189979123175,0.2503097893432466,0.6539006640041733
15,logistic_reg,1,0.7,0.391304347826087,0.022304832713754646,0.6539006640041733
16,logistic_reg,1,0.8,0.2857142857142857,0.0024783147459727386,0.6539006640041733
17,logistic_reg,1,0.9,0.0,0.0,0.6539006640041733
18,logistic_reg,1,0.95,0.0,0.0,0.6539006640041733
19,logistic_reg,1,0.98,0.0,0.0,0.6539006640041733
20,logistic_reg,1,0.99,0.0,0.0,0.6539006640041733
21,svm,1,-1.0,0.25422647527910686,0.9876084262701363,0.6487254489731793
22,svm,1,-0.8,0.2658095899930507,0.9479553903345725,0.6487254489731793
23,svm,1,-0.6,0.2831967213114754,0.8562577447335812,0.6487254489731793
24,svm,1,-0.4,0.3250704225352113,0.7149938042131351,0.6487254489731793
25,svm,1,-0.3,0.3468372423596304,0.6047087980173482,0.6487254489731793
26,svm,1,-0.1,0.38492063492063494,0.36059479553903345,0.6487254489731793
27,svm,1,0.0,0.4229934924078091,0.241635687732342,0.6487254489731793
28,random_forest,1,0.5,0.3965014577259475,0.16852540272614622,0.6387651333801876
29,random_forest,1,0.7,0.4,0.004956629491945477,0.6387651333801876
30,random_forest,1,0.8,0.0,0.0,0.6387651333801876
31,random_forest,1,0.9,0.0,0.0,0.6387651333801876
32,random_forest,1,0.95,0.0,0.0,0.6387651333801876
33,random_forest,1,0.98,0.0,0.0,0.6387651333801876
34,random_forest,1,0.99,0.0,0.0,0.6387651333801876
35,gradient_boost,1,0.5,0.31494252873563217,0.3395291201982652,0.5897442903382661
36,gradient_boost,1,0.7,0.3096774193548387,0.29739776951672864,0.5897442903382661
37,gradient_boost,1,0.8,0.3165266106442577,0.28004956629491945,0.5897442903382661
38,gradient_boost,1,0.9,0.31666666666666665,0.23543990086741015,0.5897442903382661
39,gradient_boost,1,0.95,0.32170542635658916,0.2057001239157373,0.5897442903382661
40,gradient_boost,1,0.98,0.32325581395348835,0.17224287484510534,0.5897442903382661
41,gradient_boost,1,0.99,0.3226744186046512,0.137546468401487,0.5897442903382661
42,KNN,2,0.5,1.0,0.0014534883720930232,0.6573332779982796
43,KNN,2,0.7,0.0,0.0,0.6573332779982796
44,KNN,2,0.8,0.0,0.0,0.6573332779982796
45,KNN,2,0.9,0.0,0.0,0.6573332779982796
46,KNN,2,0.95,0.0,0.0,0.6573332779982796
47,KNN,2,0.98,0.0,0.0,0.6573332779982796
48,KNN,2,0.99,0.0,0.0,0.6573332779982796
49,decision_tree,2,0.5,0.39767054908485855,0.34738372093023256,0.5616025345969847
50,decision_tree,2,0.7,0.3894736842105263,0.3226744186046512,0.5616025345969847
51,decision_tree,2,0.8,0.38571428571428573,0.313953488372093,0.5616025345969847
52,decision_tree,2,0.9,0.3843283582089552,0.29941860465116277,0.5616025345969847
53,decision_tree,2,0.95,0.3843283582089552,0.29941860465116277,0.5616025345969847
54,decision_tree,2,0.98,0.3843283582089552,0.29941860465116277,0.5616025345969847
55,decision_tree,2,0.99,0.3843283582089552,0.29941860465116277,0.5616025345969847
56,logistic_reg,2,0.5,0.6,0.030523255813953487,0.6868751226174485
57,logistic_reg,2,0.7,0.0,0.0,0.6868751226174485
58,logistic_reg,2,0.8,0.0,0.0,0.6868751226174485
59,logistic_reg,2,0.9,0.0,0.0,0.6868751226174485
60,logistic_reg,2,0.95,0.0,0.0,0.6868751226174485
61,logistic_reg,2,0.98,0.0,0.0,0.6868751226174485
62,logistic_reg,2,0.99,0.0,0.0,0.6868751226174485
63,svm,2,-1.0,0.3283656234475907,0.9607558139534884,0.6843369414303608
64,svm,2,-0.8,0.3706422018348624,0.8808139534883721,0.6843369414303608
65,svm,2,-0.6,0.42095416276894293,0.6540697674418605,0.6843369414303608
66,svm,2,-0.4,0.5206611570247934,0.36627906976744184,0.6843369414303608
67,svm,2,-0.3,0.5480427046263345,0.2238372093023256,0.6843369414303608
68,svm,2,-0.1,0.5970149253731343,0.05813953488372093,0.6843369414303608
69,svm,2,0.0,0.5333333333333333,0.023255813953488372,0.6843369414303608
70,random_forest,2,0.5,0.5625,0.06540697674418605,0.6550110921630472
71,random_forest,2,0.7,1.0,0.0014534883720930232,0.6550110921630472
72,random_forest,2,0.8,0.0,0.0,0.6550110921630472
73,random_forest,2,0.9,0.0,0.0,0.6550110921630472
74,random_forest,2,0.95,0.0,0.0,0.6550110921630472
75,random_forest,2,0.98,0.0,0.0,0.6550110921630472
76,random_forest,2,0.99,0.0,0.0,0.6550110921630472
77,gradient_boost,2,0.5,0.43529411764705883,0.21511627906976744,0.6248721948900593
78,gradient_boost,2,0.7,0.43700787401574803,0.1613372093023256,0.6248721948900593
79,gradient_boost,2,0.8,0.44549763033175355,0.13662790697674418,0.6248721948900593
80,gradient_boost,2,0.9,0.4375,0.10174418604651163,0.6248721948900593
81,gradient_boost,2,0.95,0.453125,0.08430232558139535,0.6248721948900593
82,gradient_boost,2,0.98,0.4470588235294118,0.055232558139534885,0.6248721948900593
83,gradient_boost,2,0.99,0.5185185185185185,0.040697674418604654,0.6248721948900593
84,KNN,3,0.5,0.6458333333333334,0.024031007751937984,0.6620886071212042
85,KNN,3,0.7,0.0,0.0,0.6620886071212042
86,KNN,3,0.8,0.0,0.0,0.6620886071212042
87,KNN,3,0.9,0.0,0.0,0.6620886071212042
88,KNN,3,0.95,0.0,0.0,0.6620886071212042
89,KNN,3,0.98,0.0,0.0,0.6620886071212042
90,KNN,3,0.99,0.0,0.0,0.6620886071212042
91,decision_tree,3,0.5,0.3555399719495091,0.3930232558139535,0.5530195632268222
92,decision_tree,3,0.7,0.35560344827586204,0.38372093023255816,0.5530195632268222
93,decision_tree,3,0.8,0.35560344827586204,0.38372093023255816,0.5530195632268222
94,decision_tree,3,0.9,0.3556515478761699,0.3829457364341085,0.5530195632268222
95,decision_tree,3,0.95,0.3556515478761699,0.3829457364341085,0.5530195632268222
96,decision_tree,3,0.98,0.3556515478761699,0.3829457364341085,0.5530195632268222
97,decision_tree,3,0.99,0.3556515478761699,0.3829457364341085,0.5530195632268222
98,logistic_reg,3,0.5,0.4953051643192488,0.1635658914728682,0.6723154517306507
99,logistic_reg,3,0.7,0.8,0.0031007751937984496,0.6723154517306507
100,logistic_reg,3,0.8,0.0,0.0,0.6723154517306507
101,logistic_reg,3,0.9,0.0,0.0,0.6723154517306507
102,logistic_reg,3,0.95,0.0,0.0,0.6723154517306507
103,logistic_reg,3,0.98,0.0,0.0,0.6723154517306507
104,logistic_reg,3,0.99,0.0,0.0,0.6723154517306507
105,svm,3,-1.0,0.30275665399239543,0.9875968992248062,0.6711749912051558
106,svm,3,-0.8,0.32171651495448633,0.9589147286821705,0.6711749912051558
107,svm,3,-0.6,0.35453100158982515,0.8643410852713178,0.6711749912051558
108,svm,3,-0.4,0.3963922294172063,0.6643410852713179,0.6711749912051558
109,svm,3,-0.3,0.4207240948813982,0.5224806201550387,0.6711749912051558
110,svm,3,-0.1,0.475,0.23565891472868217,0.6711749912051558
111,svm,3,0.0,0.516320474777448,0.13488372093023257,0.6711749912051558
112,random_forest,3,0.5,0.49514563106796117,0.15813953488372093,0.6610016641592004
113,random_forest,3,0.7,0.5,0.0031007751937984496,0.6610016641592004
114,random_forest,3,0.8,1.0,0.0007751937984496124,0.6610016641592004
115,random_forest,3,0.9,0.0,0.0,0.6610016641592004
116,random_forest,3,0.95,0.0,0.0,0.6610016641592004
117,random_forest,3,0.98,0.0,0.0,0.6610016641592004
118,random_forest,3,0.99,0.0,0.0,0.6610016641592004
119,gradient_boost,3,0.5,0.3931947069943289,0.32248062015503876,0.6188230876515395
120,gradient_boost,3,0.7,0.3866513233601841,0.26046511627906976,0.6188230876515395
121,gradient_boost,3,0.8,0.40963855421686746,0.2372093023255814,0.6188230876515395
122,gradient_boost,3,0.9,0.42038216560509556,0.20465116279069767,0.6188230876515395
123,gradient_boost,3,0.95,0.4396039603960396,0.17209302325581396,0.6188230876515395
124,gradient_boost,3,0.98,0.4318181818181818,0.1325581395348837,0.6188230876515395
125,gradient_boost,3,0.99,0.4607142857142857,0.1,0.6188230876515395
